new_id,task_id
2,0
4,0
17,0
21,0
22,0
24,0
27,0
28,0
29,0
33,0
39,0
50,0
53,0
54,0
62,0
68,0
73,0
74,0
79,0
80,0
82,0
92,0
96,0
101,0
110,0
117,0
118,0
121,0
127,0
128,0
144,0
145,0
147,0
148,0
161,0
164,0
172,0
173,0
174,0
176,0
177,0
181,0
183,0
184,0
186,0
187,0
188,0
195,0
201,0
207,0
210,0
222,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
241,0
244,0
245,0
247,0
250,0
252,0
254,0
257,0
260,0
263,0
265,0
266,0
271,0
273,0
281,0
295,0
298,0
300,0
313,0
314,0
323,0
326,0
328,0
334,0
339,0
343,0
349,0
350,0
353,0
358,0
362,0
363,0
373,0
374,0
380,0
385,0
388,0
391,0
397,0
398,0
399,0
403,0
405,0
426,0
431,0
435,0
449,0
450,0
452,0
453,0
455,0
456,0
472,0
491,0
498,0
510,0
515,0
526,0
540,0
541,0
546,0
550,0
554,0
562,0
566,0
568,0
572,0
576,0
578,0
586,0
590,0
597,0
599,0
631,0
636,0
651,0
665,0
668,0
679,0
680,0
684,0
685,0
686,0
689,0
720,0
743,0
748,0
751,0
752,0
755,0
759,0
761,0
769,0
771,0
779,0
797,0
798,0
802,0
803,0
806,0
808,0
809,0
810,0
825,0
827,0
829,0
830,0
831,0
833,0
838,0
840,0
841,0
849,0
855,0
876,0
879,0
881,0
890,0
897,0
912,0
916,0
917,0
930,0
976,0
977,0
982,0
1013,0
1016,0
1019,0
1025,0
1027,0
1034,0
1076,0
1087,0
1088,0
1089,0
1105,0
1110,0
1138,0
1139,0
1161,0
1180,0
1181,0
1183,0
1188,0
1215,0
1222,0
1228,0
1231,0
1239,0
1244,0
1250,0
1277,0
1303,0
1304,0
1314,0
1358,0
1362,0
1364,0
1365,0
1372,0
1393,0
1407,0
1413,0
1414,0
1415,0
1416,0
1419,0
1433,0
1478,0
1483,0
1484,0
1491,0
1523,0
1548,0
1552,0
1556,0
1559,0
1586,0
1595,0
1596,0
1597,0
1610,0
1613,0
1615,0
1618,0
1646,0
1657,0
1673,0
72,1
141,1
308,1
411,1
423,1
472,1
548,1
558,1
560,1
755,1
820,1
832,1
892,1
951,1
1036,1
1076,1
1133,1
1292,1
1293,1
1336,1
1576,1
1615,1
